Operation,Average,Minimum,Maximum
Copy0,0.028404,0.028370,0.028450
Scale0,0.031148,0.031059,0.031293
Add0,0.042858,0.042492,0.043470
Triad0,0.043211,0.042578,0.043774
Copy1,0.028435,0.028389,0.028484
Scale1,0.031348,0.031044,0.032434
Add1,0.043008,0.042520,0.043398
Triad1,0.043114,0.042616,0.043501
Copy2,0.028443,0.028419,0.028459
Scale2,0.031096,0.030988,0.031204
Add2,0.042755,0.042563,0.042983
Triad2,0.043235,0.042876,0.043477
Copy3,0.028470,0.028409,0.028513
Scale3,0.031093,0.031013,0.031196
Add3,0.042840,0.042605,0.043216
Triad3,0.043243,0.042856,0.043570
Copy4,0.028492,0.028454,0.028514
Scale4,0.031115,0.030973,0.031233
Add4,0.043026,0.042556,0.043815
Triad4,0.043115,0.042584,0.043517
Copy5,0.028520,0.028498,0.028544
Scale5,0.031064,0.030972,0.031128
Add5,0.042694,0.042509,0.043201
Triad5,0.043199,0.042663,0.043493
Copy6,0.028553,0.028529,0.028602
Scale6,0.031178,0.031049,0.031312
Add6,0.042940,0.042557,0.043244
Triad6,0.043303,0.043059,0.043668
Copy7,0.028560,0.028530,0.028583
Scale7,0.031084,0.030996,0.031208
Add7,0.042776,0.042526,0.043174
Triad7,0.043262,0.042715,0.043573
Copy8,0.028581,0.028554,0.028606
Scale8,0.031130,0.031011,0.031278
Add8,0.042876,0.042596,0.043265
Triad8,0.043320,0.042901,0.043607




